OS	Arch	File	Download Count
Linux	32-bit	[csvtk_linux_386.tar.gz](https://github.com/shenwei356/csvtk/releases/download/v0.4.4/csvtk_linux_386.tar.gz)	[![Github Releases (by Asset)](https://img.shields.io/github/downloads/shenwei356/csvtk/latest/csvtk_linux_386.tar.gz.svg?maxAge=3600)](https://github.com/shenwei356/csvtk/releases/download/v0.4.4/csvtk_linux_386.tar.gz)
Linux	**64-bit**	[**csvtk_linux_amd64.tar.gz**](https://github.com/shenwei356/csvtk/releases/download/v0.4.4/csvtk_linux_amd64.tar.gz)	[![Github Releases (by Asset)](https://img.shields.io/github/downloads/shenwei356/csvtk/latest/csvtk_linux_amd64.tar.gz.svg?maxAge=3600)](https://github.com/shenwei356/csvtk/releases/download/v0.4.4/csvtk_linux_amd64.tar.gz)
Linux	ARM	[csvtk_linux_arm.tar.gz](https://github.com/shenwei356/csvtk/releases/download/v0.4.4/csvtk_linux_arm.tar.gz)	[![Github Releases (by Asset)](https://img.shields.io/github/downloads/shenwei356/csvtk/latest/csvtk_linux_arm.tar.gz.svg?maxAge=3600)](https://github.com/shenwei356/csvtk/releases/download/v0.4.4/csvtk_linux_arm.tar.gz)
Linux	ARM64	[csvtk_linux_arm64.tar.gz](https://github.com/shenwei356/csvtk/releases/download/v0.4.4/csvtk_linux_arm64.tar.gz)	[![Github Releases (by Asset)](https://img.shields.io/github/downloads/shenwei356/csvtk/latest/csvtk_linux_arm64.tar.gz.svg?maxAge=3600)](https://github.com/shenwei356/csvtk/releases/download/v0.4.4/csvtk_linux_arm64.tar.gz)
OS X	32-bit	[csvtk_darwin_386.tar.gz](https://github.com/shenwei356/csvtk/releases/download/v0.4.4/csvtk_darwin_386.tar.gz)	[![Github Releases (by Asset)](https://img.shields.io/github/downloads/shenwei356/csvtk/latest/csvtk_darwin_386.tar.gz.svg?maxAge=3600)](https://github.com/shenwei356/csvtk/releases/download/v0.4.4/csvtk_darwin_386.tar.gz)
OS X	**64-bit**	[**csvtk_darwin_amd64.tar.gz**](https://github.com/shenwei356/csvtk/releases/download/v0.4.4/csvtk_darwin_amd64.tar.gz)	[![Github Releases (by Asset)](https://img.shields.io/github/downloads/shenwei356/csvtk/latest/csvtk_darwin_amd64.tar.gz.svg?maxAge=3600)](https://github.com/shenwei356/csvtk/releases/download/v0.4.4/csvtk_darwin_amd64.tar.gz)
Windows	32-bit	[csvtk_windows_386.exe.tar.gz](https://github.com/shenwei356/csvtk/releases/download/v0.4.4/csvtk_windows_386.exe.tar.gz)	[![Github Releases (by Asset)](https://img.shields.io/github/downloads/shenwei356/csvtk/latest/csvtk_windows_386.exe.tar.gz.svg?maxAge=3600)](https://github.com/shenwei356/csvtk/releases/download/v0.4.4/csvtk_windows_386.exe.tar.gz)
Windows	**64-bit**	[**csvtk_windows_amd64.exe.tar.gz**](https://github.com/shenwei356/csvtk/releases/download/v0.4.4/csvtk_windows_amd64.exe.tar.gz)	[![Github Releases (by Asset)](https://img.shields.io/github/downloads/shenwei356/csvtk/latest/csvtk_windows_amd64.exe.tar.gz.svg?maxAge=3600)](https://github.com/shenwei356/csvtk/releases/download/v0.4.4/csvtk_windows_amd64.exe.tar.gz)
